INFO:wiotp.sdk.device.client.DeviceClient:Connected successfully: d:j4fntv:Cambien:cambien001
INFO:wiotp.sdk.device.client.DeviceClient:Connected successfully: d:j4fntv:Cambien:cambien001
INFO:wiotp.sdk.device.client.DeviceClient:Connected successfully: d:j4fntv:Cambien:cambien001
INFO:wiotp.sdk.device.client.DeviceClient:Connected successfully: d:j4fntv:Cambien:cambien001
INFO:root:eaa75cf5-fcf8-440a-a1ac-bc19accfcbd1 ---- 2019-10-25 08:42:41.905
INFO:root:ed003910-5ff1-4aa1-b277-5a65e3ad3591 ---- 2019-10-25 08:42:52.004
INFO:root:9f6ecfc3-b87b-4b37-a6fc-1cced0a047e0 ---- 2019-10-25 08:43:02.104
INFO:root:3fbbaa13-fac7-491b-a93c-4c9b84bfc735 ---- 2019-10-25 08:43:12.204
INFO:root:1dbb9e9a-c19e-42dc-8179-bdbf784d9f0d ---- 2019-10-25 08:43:22.311
INFO:root:b0494851-67c7-44b4-8f58-dedded08213c ---- 2019-10-25 08:43:32.416
INFO:root:7238420e-c191-4f8c-a934-f6b7c17a85c2 ---- 2019-10-25 08:43:42.518
INFO:root:0c9a8ddf-0be1-4314-9325-ed35f79cf6d2 ---- 2019-10-25 08:43:52.618
INFO:wiotp.sdk.device.client.DeviceClient:Connected successfully: d:j4fntv:Cambien:cambien001
INFO:root:2b5c6510-265f-481a-8c0e-498d1ef4c73c ---- 2019-10-25 08:48:53.632
INFO:root:b22e0e39-851d-4ef0-8551-16ee22b167ab ---- 2019-10-25 08:48:58.725
INFO:root:d7e8427b-138f-4516-8d15-61a83135c765 ---- 2019-10-25 08:49:03.841
INFO:root:67477549-ed5a-4a15-8961-315fc05fbb0b ---- 2019-10-25 08:49:08.938
INFO:root:ac7a45b8-a61b-43cc-b40d-004fac3657fe ---- 2019-10-25 08:49:14.033
INFO:root:7770f961-e3bc-424f-944b-a42696605c20 ---- 2019-10-25 08:49:19.129
INFO:root:3fb81c9d-d0b9-4aae-9c4a-19ae0fd99275 ---- 2019-10-25 08:49:24.223
INFO:root:c81ae3f9-bf2b-462f-848e-e19ade30421c ---- 2019-10-25 08:49:29.320
